"id","nombre","keywords","horario","preciosimbolo","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
42,"Kings Pub Plaza Loreto","cerveza","Ver todos los horarios","$$ - $$$","3.5"," **N.º 144** de 301 Pub en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d4727115-Reviews-Kings_Pub_Plaza_Loreto-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","35","0","-","Pub","Cena","-","Servicio de mesa, Reservaciones, Asiento","Altamirano 46, Plaza Loreto, Ciudad de México México","","56166920","Altamirano 46, Plaza Loreto","México","Ciudad de México,","","-99.194511","19.339186",19,3,8,3,1,2
43,"Ruben's Restaurant Isla Mujeres","cerveza","8:00 - 21:00","$","4.5"," **N.º 15** de 132 Mexicana en Isla Mujeres","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150810-d6495942-Reviews-Ruben_s_Restaurant_Isla_Mujeres-Isla_Mujeres_Yucatan_Peninsula.html","45","45","45","40","-","Mexicana","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Avenida Vicente Guerrero, 18 About 2 Blocks From North Beach, Isla Mujeres
77440 México","rubenchavez_77@hotmail.com","+52 998 127 8470","Avenida Vicente Guerrero, 18","México","Isla Mujeres 77440,","About 2 Blocks From North Beach","-86.749359","21.25865",1828,951,204,61,12,11
44,"La Reynita","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 14** de 122 Mexicana en San Pedro Garza García","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1154799-d12557580-Reviews-La_Reynita-San_Pedro_Garza_Garcia_Monterrey_Northern_Mexico.html","45","40","40","0","$75 - $650","Mexicana, Latina, Fusión, Comida de calle","Cena, Almuerzo, Abierto hasta tarde, Bebidas","-","-","Av Lázaro Cárdenas, Residencial San Agustín 1er Sector Fashion Drive, San
Pedro Garza García, Monterrey 66260 México","","+52 81 8298 4545","Av Lázaro Cárdenas, Residencial San Agustín 1er Sector","México","San Pedro Garza García, Monterrey 66260,","Fashion Drive","-100.334091","25.651239",87,32,30,10,2,2
45,"La Faena Museo Turino","cerveza","","$","3.5","**N.º 2,159** de 4,995 Restaurantes en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d9834481-Reviews-La_Faena_Museo_Turino-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","45","0","-","-","-","-","-","Calle Venustiano Carranza 49-B, Ciudad de México 06000 México","","55104417","Calle Venustiano Carranza 49-B","México","Ciudad de México 06000,","","-99.137718","19.431271",19,3,6,6,2,0
46,"Patio Container","cerveza","","$$ - $$$","3.5","**N.º 1,189** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d8068642-Reviews-Patio_Container-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","35","40","0","-","Mexicana, Latina, Española","Cena","-","Servicio de mesa, Comida para llevar, Asiento","Av. Juarez 60, Ciudad de México México","","+52 55 1510 9382","Av. Juarez 60","México","Ciudad de México,","","-99.145683","19.434856",24,1,10,5,0,2
47,"La Olita","cerveza","Ver todos los horarios","$","4.5"," **N.º 2** de 91 Mexicana en Puerto Escondido","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g153373-d4594032-Reviews-La_Olita-Puerto_Escondido_Southern_Mexico.html","50","45","45","50","$3 - $180","Mexicana, Latina, Mariscos, Parrilla, Fusión","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Bajada Las Brisas Entrance Playa Zicatela, Puerto Escondido 70934 México","laolitapuerto@gmail.com","+52 954 205 9737","Bajada Las Brisas","México","Puerto Escondido 70934,","Entrance Playa Zicatela","-97.052788","15.851731",405,239,29,13,3,10
48,"La Chaya Maya","cerveza","7:00 - 23:00","$$ - $$$","4.5"," **N.º 20** de 336 Mexicana en Mérida","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d6852956-Reviews-La_Chaya_Maya-Merida_Yucatan_Peninsula.html","45","45","45","40","-","Mexicana, Latina","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos","-","Calle 55 x 60 y 62 Sucursal Centro, Mérida 97000 México","contacto@lachayamaya.com","+52 999 928 4780","Calle 55 x 60 y 62","México","Mérida 97000,","Sucursal Centro","-89.623169","20.97098",7286,3237,1598,527,156,80
49,"The Thirsty Cougar","cerveza","9:00 - 0:00","$$ - $$$","4.5"," **N.º 17** de 225 Mexicana en Cozumel","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150809-d2508954-Reviews-The_Thirsty_Cougar-Cozumel_Yucatan_Peninsula.html","45","45","45","45","$236 - $707","Mariscos, Mexicana, Caribeña","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Rafael Melgar, Cozumel 77600 México","AlgoFrescoMX@Gmail.com","+52 987 869 0214","Rafael Melgar","México","Cozumel 77600,","","-86.952049","20.508871",677,316,105,17,4,5
86,"Jungle Bar Cabo","cerveza","","$","4.5","**N.º 18** de 70 Pub en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d2189993-Reviews-Jungle_Bar_Cabo-Cabo_San_Lucas_Los_Cabos_Baja_California.html","40","45","45","45","-","Pub","Abierto hasta tarde, Bebidas","-","Asiento, Televisión, Sirve alcohol, Bar completo, Música en vivo","Blvd. Marina, Plaza Mariachis, Cabo San Lucas México","","","Blvd. Marina, Plaza Mariachis","México","Cabo San Lucas,","","-109.913277","22.880301",152,67,32,10,0,4
50,"Bubba Gump Shrimp Co.","cerveza","11:00 - 21:30","$$ - $$$","4.5"," **N.º 1** de 68 Estadounidense en Cancún","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d3164537-Reviews-Bubba_Gump_Shrimp_Co-Cancun_Yucatan_Peninsula.html","40","45","40","40","-","Estadounidense, Bar, Mariscos","Bebidas, Almuerzo, Cena, Abierto hasta tarde","Apto para vegetarianos","-","Boulevard Kukulcan km 11.5 Plaza Flamingo, Cancún 77500 México","salesbg@meracorporation.com","+52 998 885 3010","Boulevard Kukulcan km 11.5","México","Cancún 77500,","Plaza Flamingo","-86.757751","21.118774",5677,2433,690,345,100,81
51,"El Camello","cerveza","Ver todos los horarios","$","4.5"," **N.º 43** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d1952766-Reviews-El_Camello-Tulum_Yucatan_Peninsula.html","45","40","45","35","-","Mexicana, Caribeña, Latina, Mariscos","Almuerzo, Cena, Abierto hasta tarde","Opciones sin gluten","-","Avenida Tulum & Luna Sur, Tulum México","","+52 984 871 2036","Avenida Tulum & Luna Sur","México","Tulum,","","-87.471542","20.208246",2431,867,435,134,46,30
52,"Sagrantino","cerveza","Ver todos los horarios","$$$$","4.5"," **N.º 2** de 96 Internacional en Guadalajara","Certificado de ExcelenciaGanador en 2017 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d1997806-Reviews-Sagrantino-Guadalajara_Guadalajara_Metropolitan_Area.html","45","45","45","45","$471 - $707","Internacional, Mediterránea, Parrilla, Contemporánea, Fusión","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Diagonal Golfo de Cortes 4152 Fraccionamiento Monraz, Guadalajara 44670 México","contacto@sagrantino.mx","+52 33 3813 1379","Diagonal Golfo de Cortes 4152","México","Guadalajara 44670,","Fraccionamiento Monraz","-103.395477","20.681311",1348,949,213,56,19,19
53,"Lorenzillo's Restaurant Cabo San Lucas","cerveza","Ver todos los horarios","$$$$","4.5"," **N.º 9** de 139 Mariscos en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d1596006-Reviews-Lorenzillo_s_Restaurant_Cabo_San_Lucas-Cabo_San_Lucas_Los_Cabos_Baja_California.html","40","45","35","45","$500 - $500","Mariscos","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Overlooking the Marina at boulevard Lazaro Cardenas, Cabo San Lucas México","lorenzilloscabos@lorenzillos.com.mx","+52 624 105 0212","Overlooking the Marina at boulevard Lazaro Cardenas","México","Cabo San Lucas,","","-109.91143","22.885563",2906,1427,234,88,42,42
54,"Kaxapa Factory","cerveza","Ver todos los horarios","$","4.5"," **N.º 7** de 154 Latina en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d2102270-Reviews-Kaxapa_Factory-Playa_del_Carmen_Yucatan_Peninsula.html","50","50","50","40","$175 - $250","Latina, Venezolana, Sudamericana","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Calle 10 Norte y 15-20 Avenida, Playa del Carmen 77710 México","kaxapafactory@gmail.com","+52 984 803 5023","Calle 10 Norte","México","Playa del Carmen 77710,","y 15-20 Avenida","-87.074333","20.628071",2622,1521,253,66,8,5
55,"Pangea","cerveza","Ver todos los horarios","$$$$","4.5"," **N.º 1** de 36 Internacional en San Pedro Garza García","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1154799-d982717-Reviews-Pangea-San_Pedro_Garza_Garcia_Monterrey_Northern_Mexico.html","45","50","45","45","$165 - $785","Internacional, Fusión","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Av. Roble #660 Local W-301 Parque Arboleda, San Pedro Garza García, Monterrey
66265 México","mercadotecnia@grupopangea.com","+52 81 8114 6601","Av. Roble #660","México","San Pedro Garza García, Monterrey 66265,","Local W-301 Parque Arboleda","-100.376907","25.650204",855,587,133,39,7,0
56,"Señor Frogs","cerveza","11:00 - 2:00","$$ - $$$","4"," **N.º 99** de 483 Mexicana en Cancún","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d1015260-Reviews-Senor_Frog_s_Cancun-Cancun_Yucatan_Peninsula.html","40","40","35","40","$353 - $589","Gastropub, Mexicana, Estadounidense","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Boulevard Kukulcan Km. 9.5 Zona Hotelera, Cancún 77500 México","info.cancun@senorfrogs.com","+52 998 883 5644","Boulevard Kukulcan Km. 9.5","México","Cancún 77500,","Zona Hotelera","-86.747665","21.132828",6456,2012,1043,537,215,205
57,"I Latina","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 6** de 433 Mexicana en Guadalajara","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d778229-Reviews-I_Latina-Guadalajara_Guadalajara_Metropolitan_Area.html","45","45","40","45","$589 - $2,355","Mexicana, Latina, Mariscos, Asiática","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Inglaterra 3128 Col. Vallarta, Guadalajara 44220 México","","","Inglaterra 3128","México","Guadalajara 44220,","Col. Vallarta","-103.392281","20.671963",892,534,211,40,10,12
58,"La Palapa Restaurant","cerveza","8:30 - 23:30","$$ - $$$","4.5"," **N.º 45** de 493 Mexicana en Puerto Vallarta","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d951075-Reviews-La_Palapa_Restaurant-Puerto_Vallarta.html","45","45","40","50","$120 - $550","Mexicana","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Calle Pulpito 105-3 Col. Emiliano Zapata, Puerto Vallarta 48380 México","info@lapalapapv.com","+52 322 222 5225","Calle Pulpito 105-3","México","Puerto Vallarta 48380,","Col. Emiliano Zapata","-105.238853","20.599588",6508,3419,764,268,91,62
59,"Mocambo Restaurantes","cerveza","12:00 - 23:00","$$ - $$$","4"," **N.º 75** de 483 Mexicana en Cancún","Certificado de ExcelenciaGanador en 2017 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d887032-Reviews-Mocambo-Cancun_Yucatan_Peninsula.html","40","40","35","45","$50 - $600","Mexicana, Caribeña, Mariscos","Almuerzo, Cena","-","-","Boulevard Kukulcan km 9.5, Hotel Zone. Frente a Plaza Caracol, Cancún 77504
México","mercadotecniacun@laparrilla.com.mx","+52 998 883 0588","Boulevard Kukulcan km 9.5, Hotel Zone.","México","Cancún 77504,","Frente a Plaza Caracol","-86.746414","21.136814",891,269,169,88,31,42
60,"El Mole De Jovita","cerveza","12:00 - 23:00","$$ - $$$","4.5"," **N.º 57** de 493 Mexicana en Puerto Vallarta","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d1526984-Reviews-El_Mole_De_Jovita-Puerto_Vallarta.html","45","45","45","40","$15 - $15","Mexicana, Latina","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Basilio Badillo 220, Puerto Vallarta 48380 México","","+52 322 223 3065","Basilio Badillo 220","México","Puerto Vallarta 48380,","","-105.236397","20.602226",884,427,133,36,15,3
61,"El Patio Casa de la Música","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 32** de 132 Mexicana en Isla Mujeres","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150810-d1895661-Reviews-El_Patio_Casa_De_La_Musica-Isla_Mujeres_Yucatan_Peninsula.html","45","45","40","45","$100 - $200","Mexicana, Caribeña, Bar, Internacional","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Avenida Miguel Hidalgo # 7 On Av. Hidalgo between Abasolo x Matamoros, Colonia
Centro, Isla Mujeres 77400 México","elpatiohouseofmusic@gmail.com","+1 207-514-3385","Avenida Miguel Hidalgo # 7","México","Isla Mujeres 77400,","On Av. Hidalgo between Abasolo x Matamoros, Colonia Centro","-86.7481","21.25765",651,234,101,25,16,17
62,"La Brocherie","cerveza","Ver todos los horarios","$","4.5"," **N.º 4** de 35 Francesa en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d6637756-Reviews-La_Brocherie-Playa_del_Carmen_Yucatan_Peninsula.html","45","50","50","45","$60 - $180","Delicatessen, Francesa, Europea, Fusión","-","Opciones sin gluten","-","Avenida 15 Nte Entre Calle 4 y 6, Playa del Carmen 77710 México","labrocherieplaya@gmail.com","+52 1 984 147 8683","Avenida 15 Nte Entre Calle 4 y 6","México","Playa del Carmen 77710,","","-87.075317","20.625921",812,338,66,14,11,6
63,"The Blue Shrimp","cerveza","11:00 - 23:00","$$ - $$$","4.5"," **N.º 4** de 65 Mexicana en Nuevo Vallarta","Certificado de ExcelenciaGanador en 2017 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g154267-d9750732-Reviews-The_Blue_Shrimp-Nuevo_Vallarta_Pacific_Coast.html","45","45","45","0","$589 - $1,884","Mexicana, Mariscos","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Las Jarretaderas Blvd Nayarit 208, Nuevo Vallarta 63735 México","theblueshrimp2016@gmail.com","+52 322 297 8117","Las Jarretaderas","México","Nuevo Vallarta 63735,","Blvd Nayarit 208","-105.279724","20.693861",831,281,40,16,13,11
64,"Burrito Amor","cerveza","Ver todos los horarios","$","4.5"," **N.º 24** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d7617975-Reviews-Burrito_Amor-Tulum_Yucatan_Peninsula.html","45","45","45","50","-","Mexicana, Latina, Centroamericana","Desayuno, Almuerzo, Cena, Brunch","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Avenida Tulum Main road - On the Way Heading Out of Town Toward Chetumal,
Tulum 77760 México","Burritoamortulum@gmail.com","+52 984 160 2989","Avenida Tulum","México","Tulum 77760,","Main road - On the Way Heading Out of Town Toward Chetumal","-87.468117","20.209621",1020,220,68,28,16,12
65,"La Federal Reforma","cerveza","","$$ - $$$","3.5","**N.º 832** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d8821492-Reviews-La_Federal_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","$150 - $450","Mexicana, Latina, Española","-","-","Reservaciones, Servicio de mesa, Asiento, Sirve alcohol","Calle Rio Lerma No. 16 Esq. Rio Neva Col. Cuauhtemoc, Ciudad de México 06500
México","","+(52)55 46 16 43","Calle Rio Lerma No. 16","México","Ciudad de México 06500,","Esq. Rio Neva Col. Cuauhtemoc","-99.162399","19.431513",42,11,15,4,3,4
66,"Butcher & Sons","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 3** de 232 Estadounidense en Ciudad de México","Certificado de ExcelenciaGanador en 2016, 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d3419221-Reviews-Butcher_Sons-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","35","40","$4,711 - $9,422","Estadounidense, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","-","Calle Virgilio 8, Ciudad de México 11540 México","alfredo@butcherandsons.com","+52 55 5280 4247","Calle Virgilio 8","México","Ciudad de México 11540,","","-99.197205","19.430414",473,176,159,59,16,18
67,"Restaurant Tequila","cerveza","10:00 - 20:00","$$ - $$$","4.5"," **N.º 1** de 4 Mexicana en Jalpan de Serra","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1597259-d9854100-Reviews-Restaurant_Tequila-Jalpan_de_Serra_Central_Mexico_and_Gulf_Coast.html","45","45","45","0","$60 - $150","Mexicana, Mariscos","Desayuno, Almuerzo, Cena","-","-","Carretera Jalpan - Landa KM 6, Jalpan de Serra 76340 México","amaria.tolentino@gmail.com","+52 441 296 1210","Carretera Jalpan - Landa KM 6","México","Jalpan de Serra 76340,","","-99.442924","21.187805",41,25,11,4,0,0
68,"Shooters Restaurant Sports Bar & Grill","cerveza","10:00 - 23:00","$$ - $$$","4"," **N.º 47** de 188 Mexicana en San José Del Cabo","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g152516-d1201962-Reviews-Shooters_Restaurant_Sports_Bar_Grill-San_Jose_del_Cabo_Los_Cabos_Baja_California.html","40","40","45","45","-","Mexicana, Estadounidense, Bar, Pub","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas","Apto para vegetarianos","-","Calle Manuel Doblado Boulevard Mijares, San José Del Cabo 23400 México","info@shootersbar.com","+52 624 146 9900","Calle Manuel Doblado","México","San José Del Cabo 23400,","Boulevard Mijares","-109.694191","23.061474",706,257,174,62,24,17
69,"La Jaiba Pata Salada","cerveza","","$$ - $$$","4.5","**N.º 61** de 223 Mexicana en Mazatlán","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150792-d13530880-Reviews-La_Jaiba_Pata_Salada-Mazatlan_Pacific_Coast.html","45","45","45","0","-","Mexicana, Mariscos","Almuerzo, Cena","-","Asiento, Servicio de mesa, Reservaciones","Avenida del Mar, Mazatlán 82010 México","","+52 669 196 8561","Avenida del Mar","México","Mazatlán 82010,","","-106.423897","23.221451",29,12,6,3,0,0
70,"La Gusguería","cerveza","","$","4.5","**N.º 23** de 95 Restaurantes en Tlaquepaque","-","https://www.tripadvisor.com.mx//Restaurant_Review-g659617-d9853899-Reviews-La_Gusgueria-Tlaquepaque_Guadalajara_Metropolitan_Area.html","45","50","45","0","-","-","Cena","-","Comida para llevar, Servicio de mesa, Asiento","Calle Matamoros 100 Centro, Tlaquepaque 45500 México","","+52 33 1578 0960","Calle Matamoros 100","México","Tlaquepaque 45500,","Centro","-103.312828","20.637638",22,15,3,2,1,1
